Doanh thu thuần,LN gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích CĐ thiểu số,Time
"2,009,386","364,104","-243,174","250,938","250,581","15,304,432","43,329,977","30,437,054","2,858,023","11,605,565","1,123.00","17,055.00",69.9,12.49,8.48,2.17,"1,287,358","Quý 2/2012
01/04-30/06
SX/HN"
"1,758,104","350,937","-120,695","255,386","271,264","17,143,045","42,917,938","30,002,576","5,290,423","11,583,711","1,228.00","17,023.00",60.64,14.53,9.2,2.34,"1,331,652","Quý 1/2012
01/01-31/03
SX/HN"
"1,743,045","197,540","-379,698","221,282","203,911","24,168,417","44,767,937","32,752,631","6,221,002","10,667,777","1,187.00","17,022.00",54.33,12.7,9.04,2.35,"1,347,530","Quý 4/2011
01/10-31/12
CKT/HN"
"1,569,403","237,896","-162,122","190,056","215,002","18,816,121","42,604,783","30,750,366","7,307,930","10,524,258","1,645.00","16,793.00",33.73,12.11,9.98,2.64,"1,330,159","Quý 3/2011
01/07-30/09
SX/HN"
"1,696,368","341,404","-143,923","317,401","300,816","16,560,215","38,977,226","27,319,547","5,691,244","10,302,430","1,321.00","16,439.00",34.83,18.71,8.29,2.25,"1,355,249","Quý 2/2011
01/04-30/06
SX/HN"
"1,433,718","198,404","-205,907","245,561","232,868","14,813,154","35,954,752","23,940,883","3,255,912","10,652,289",827,"16,997.00",51.51,17.13,5.43,1.49,"1,361,579","Quý 1/2011
01/01-31/03
SX/HN"
"843,810","-510,295","-833,915","251,491","250,014","13,673,104","33,714,617","23,826,885","2,500,811","8,538,815",921,"14,901.00",33.21,29.8,6.18,1.57,"1,348,917","Quý 4/2010
01/10-31/12
CKT/HN"
,,,,,"12,608,541","30,697,369","21,035,221","1,997,783","8,315,247",485,"14,511.00",78.75,0,0,0,"1,346,902","Quý 3/2010
01/07-30/09
SX/HN"
,,,,,"12,951,719","29,412,554","20,030,861","1,746,134","8,091,838",485,"14,121.00",109.26,0,0,0,"1,289,855","Quý 2/2010
01/04-30/06
SX/HN"
"843,810","-510,295","-833,915","251,491","250,014","13,673,104","33,714,617","23,826,885","2,500,811","8,538,815",921,"14,901.00",33.21,29.8,6.18,1.57,"1,348,917","Quý 1/2010
01/01-31/03
SX/HN"
,,,,,"12,608,541","30,697,369","21,035,221","1,997,783","8,315,247",485,"14,511.00",78.75,0,0,0,"1,346,902","Quý 4/2009
01/10-31/12
CKT/HN"
,,,,,"12,951,719","29,412,554","20,030,861","1,746,134","8,091,838",485,"14,121.00",109.26,0,0,0,"1,289,855","Quý 3/2009
01/07-30/09
CKT/HN"
"1,423,660","389,950","32,131","285,714","277,962","12,286,313","28,114,654","18,982,370","3,037,899","7,893,035",485,"13,774.00",0,20.07,8.06,2.26,"1,239,249","Quý 2/2009
01/04-30/06
CKT/HN"
,,,,,,,,,,,,,,,,,"Quý 4/2009
01/10-31/12
CKT/HN"
,,,,,,,,,,,,,,,,,"Quý 3/2009
01/07-30/09
CKT/HN"
,,,,,,,,,,,,,,,,,"Quý 2/2009
01/04-30/06
CKT/HN"
,,,,,,,,,,,,,,,,,"Quý 1/2009
01/01-31/03
CKT/HN"
