Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"13,189,300","6,155,003","3,341,235","2,797,381","2,790,729","22,040,433","38,305,262","9,382,031","8,816,669","28,923,231","6,423.00","16,609.00",20.99,21.21,10.11,7.38,,"Quý 1/2019
01/01-31/03
SX/HN"
"13,003,707","6,162,585","2,637,036","2,284,277","2,299,485","20,559,757","37,366,109","11,094,739","10,639,592","26,271,369","6,645.00","15,086.00",18.06,17.57,8.81,6.44,,"Quý 4/2018
01/10-31/12
CKT/HN"
"13,735,260","6,493,517","2,953,827","2,560,469","2,560,125","18,360,116","34,026,431","8,076,222","7,381,050","25,950,209","6,612.00","14,902.00",20.77,18.64,9.76,7.29,,"Quý 3/2018
01/07-30/09
SX/HN"
"13,702,481","6,468,611","3,172,703","2,677,839","2,666,357","20,818,679","36,183,530","9,647,480","8,862,722","26,536,050","6,757.00","18,285.00",25.16,19.54,10.09,7.46,,"Quý 2/2018
01/04-30/06
SX/HN"
"12,120,502","5,486,693","3,112,948","2,683,045","2,701,314","19,974,839","35,328,719","9,037,780","8,441,889","26,290,939","6,933.00","18,116.00",29.28,22.14,10.77,7.72,,"Quý 1/2018
01/01-31/03
SX/HN"
"12,350,368","5,603,872","2,084,490","1,729,313","1,744,613","20,307,435","34,667,319","10,794,261","10,195,563","23,873,058","7,094.00","16,450.00",29.41,14.00,7.28,5.27,,"Quý 4/2017
01/10-31/12
CKT/HN"
"13,293,078","6,270,299","3,228,397","2,697,068","2,693,904","18,889,319","31,595,715","7,567,098","7,089,479","24,028,617","7,152.00","16,556.00",20.86,20.29,11.04,8.48,,"Quý 3/2017
01/07-30/09
SX/HN"
"13,348,261","6,540,842","3,443,227","2,916,788","2,922,080","20,677,934","31,955,032","7,201,914","6,712,398","24,753,118","7,299.00","17,055.00",21.59,21.85,11.74,9.27,,"Quý 2/2017
01/04-30/06
SX/HN"
"12,049,369","5,819,131","3,470,305","2,935,005","2,935,068","20,171,593","31,068,545","6,049,114","5,534,020","25,019,430","7,557.00","17,238.00",18.96,24.36,12.38,9.71,,"Quý 1/2017
01/01-31/03
SX/HN"
"11,807,611","5,480,295","2,145,563","1,828,287","1,828,964","18,673,828","29,378,656","6,972,707","6,457,498","22,405,949","7,298.00","15,437.00",17.21,15.48,8.48,6.41,,"Quý 4/2016
01/10-31/12
CKT/HN"
"12,204,690","5,085,429","3,048,044","2,549,415","2,548,780","17,322,793","27,656,721","6,901,907","6,370,100","20,754,814","7,744.00","14,299.00",18.08,20.89,11.66,8.87,,"Quý 3/2016
01/07-30/09
SX/HN"
